id,states,states_code,state_abbv,year,population
49,Utah,UT,UT,2014,2936879
50,Vermont,VT,VT,2014,625214
51,Virginia,VA,VA,2014,8310993
53,Washington,WA,WA,2014,7054655
54,West Virginia,WV,WV,2014,1849489
55,Wisconsin,WI,WI,2014,5751525
56,Wyoming,WY,WY,2014,582531
72,Puerto Rico,PR,PR,2014,3534874
1,Alabama,AL,AL,2015,4852347
2,Alaska,AK,AK,2015,737498
4,Arizona,AZ,AZ,2015,6829676
5,Arkansas,AR,AR,2015,2978048
6,California,CA,CA,2015,38918045
8,Colorado,CO,CO,2015,5450623
9,Connecticut,CT,CT,2015,3587122
10,Delaware,DE,DE,2015,941252
11,District of Columbia,DC,,2015,675400
12,Florida,FL,FL,2015,20209042
13,Georgia,GA,GA,2015,10178447
15,Hawaii,HI,HI,2015,1422052
16,Idaho,ID,ID,2015,1651059
17,Illinois,IL,IL,2015,12858913
18,Indiana,IN,IN,2015,6608422
19,Iowa,IA,IA,2015,3120960
20,Kansas,KS,KS,2015,2909011
21,Kentucky,KY,KY,2015,4425976
22,Louisiana,LA,LA,2015,4664628
23,Maine,ME,ME,2015,1328262
24,Maryland,MD,MD,2015,5985562
25,Massachusetts,MA,MA,2015,6794228
26,Michigan,MI,MI,2015,9931715
27,Minnesota,MN,MN,2015,5482032
28,Mississippi,MS,MS,2015,2988471
29,Missouri,MO,MO,2015,6071732
30,Montana,MT,MT,2015,1030475
31,Nebraska,NE,NE,2015,1891277
32,Nevada,NV,NV,2015,2866939
33,New Hampshire,NH,NH,2015,1336350
34,New Jersey,NJ,NJ,2015,8867949
35,New Mexico,NM,NM,2015,2089291
36,New York,NY,NY,2015,19654666
37,North Carolina,NC,NC,2015,10031646
38,North Dakota,ND,ND,2015,754066
39,Ohio,OH,OH,2015,11617527
40,Oklahoma,OK,OK,2015,3909500
41,Oregon,OR,OR,2015,4015792
42,Pennsylvania,PA,PA,2015,12784826
44,Rhode Island,RI,RI,2015,1056065
45,South Carolina,SC,SC,2015,4891938
46,South Dakota,SD,SD,2015,853988
47,Tennessee,TN,TN,2015,6591170
48,Texas,TX,TX,2015,27470056
49,Utah,UT,UT,2015,2981835
50,Vermont,VT,VT,2015,625216
51,Virginia,VA,VA,2015,8361808
53,Washington,WA,WA,2015,7163657
54,West Virginia,WV,WV,2015,1842050
55,Wisconsin,WI,WI,2015,5760940
56,Wyoming,WY,WY,2015,585613
72,Puerto Rico,PR,PR,2015,3473232
1,Alabama,AL,AL,2016,4863525
2,Alaska,AK,AK,2016,741456
4,Arizona,AZ,AZ,2016,6941072
5,Arkansas,AR,AR,2016,2989918
6,California,CA,CA,2016,39167117
8,Colorado,CO,CO,2016,5539215
9,Connecticut,CT,CT,2016,3578141
10,Delaware,DE,DE,2016,948921
11,District of Columbia,DC,,2016,685815
12,Florida,FL,FL,2016,20613477
13,Georgia,GA,GA,2016,10301890
15,Hawaii,HI,HI,2016,1427559
16,Idaho,ID,ID,2016,1682380
17,Illinois,IL,IL,2016,12820527
18,Indiana,IN,IN,2016,6634304
19,Iowa,IA,IA,2016,3131371
20,Kansas,KS,KS,2016,2910844
21,Kentucky,KY,KY,2016,4438182
22,Louisiana,LA,LA,2016,4678135
23,Maine,ME,ME,2016,1331317
24,Maryland,MD,MD,2016,6003323
25,Massachusetts,MA,MA,2016,6823608
26,Michigan,MI,MI,2016,9950571
27,Minnesota,MN,MN,2016,5522744
28,Mississippi,MS,MS,2016,2987938
29,Missouri,MO,MO,2016,6087135
30,Montana,MT,MT,2016,1040859
31,Nebraska,NE,NE,2016,1905616
32,Nevada,NV,NV,2016,2917563
33,New Hampshire,NH,NH,2016,1342307
34,New Jersey,NJ,NJ,2016,8870827
35,New Mexico,NM,NM,2016,2091630
36,New York,NY,NY,2016,19633428
37,North Carolina,NC,NC,2016,10154788
38,North Dakota,ND,ND,2016,754434
39,Ohio,OH,OH,2016,11634370
40,Oklahoma,OK,OK,2016,3926331
41,Oregon,OR,OR,2016,4089976
42,Pennsylvania,PA,PA,2016,12782275
44,Rhode Island,RI,RI,2016,1056770
45,South Carolina,SC,SC,2016,4957968
46,South Dakota,SD,SD,2016,862996
47,Tennessee,TN,TN,2016,6646010
48,Texas,TX,TX,2016,27914410
49,Utah,UT,UT,2016,3041868
50,Vermont,VT,VT,2016,623657
51,Virginia,VA,VA,2016,8410106
53,Washington,WA,WA,2016,7294771
54,West Virginia,WV,WV,2016,1831023
55,Wisconsin,WI,WI,2016,5772628
56,Wyoming,WY,WY,2016,584215
72,Puerto Rico,PR,PR,2016,3406672
1,Alabama,AL,AL,2017,4874486
2,Alaska,AK,AK,2017,739700
4,Arizona,AZ,AZ,2017,7044008
5,Arkansas,AR,AR,2017,3001345
6,California,CA,CA,2017,39358497
8,Colorado,CO,CO,2017,5611885
9,Connecticut,CT,CT,2017,3573297
10,Delaware,DE,DE,2017,956823
11,District of Columbia,DC,,2017,694906
12,Florida,FL,FL,2017,20963613
13,Georgia,GA,GA,2017,10410330
15,Hawaii,HI,HI,2017,1424393
16,Idaho,ID,ID,2017,1717715
17,Illinois,IL,IL,2017,12778828
18,Indiana,IN,IN,2017,6658078
19,Iowa,IA,IA,2017,3141550
20,Kansas,KS,KS,2017,2908718
21,Kentucky,KY,KY,2017,4452268
22,Louisiana,LA,LA,2017,4670560
23,Maine,ME,ME,2017,1334612
24,Maryland,MD,MD,2017,6023868
25,Massachusetts,MA,MA,2017,6859789
26,Michigan,MI,MI,2017,9973114
27,Minnesota,MN,MN,2017,5566230
28,Mississippi,MS,MS,2017,2988510
29,Missouri,MO,MO,2017,6106670
30,Montana,MT,MT,2017,1052482
31,Nebraska,NE,NE,2017,1915947
32,Nevada,NV,NV,2017,2969905
33,New Hampshire,NH,NH,2017,1348787
34,New Jersey,NJ,NJ,2017,8885525
35,New Mexico,NM,NM,2017,2091784
36,New York,NY,NY,2017,19589572
37,North Carolina,NC,NC,2017,10268233
38,North Dakota,ND,ND,2017,754942
39,Ohio,OH,OH,2017,11659650
40,Oklahoma,OK,OK,2017,3931316
41,Oregon,OR,OR,2017,4143625
42,Pennsylvania,PA,PA,2017,12787641
44,Rhode Island,RI,RI,2017,1055673
45,South Carolina,SC,SC,2017,5021268
46,South Dakota,SD,SD,2017,872868
47,Tennessee,TN,TN,2017,6708799
48,Texas,TX,TX,2017,28295273
49,Utah,UT,UT,2017,3101042
50,Vermont,VT,VT,2017,624344
51,Virginia,VA,VA,2017,8463587
53,Washington,WA,WA,2017,7423362
54,West Virginia,WV,WV,2017,1817004
55,Wisconsin,WI,WI,2017,5790186
56,Wyoming,WY,WY,2017,578931
72,Puerto Rico,PR,PR,2017,3325286
